userId,movieId,title,type_r,rank
999,3509,A Scanner Darkly,cf,5.0
999,3489,88 Minutes,cf,5.0
999,408,Snow White and the Seven Dwarfs,cf,5.0
999,1722,Captain Corelli's Mandolin,cf,5.0
999,426,Vertigo,cf,5.0
999,6538,Charlie Wilson's War,cf,5.0
999,264170,Batman: Strange Days,cf,5.0
999,1411,The Rapture,cf,5.0
999,3989,Team America: World Police,cf,5.0
999,842,The Assassination of Richard Nixon,cf,5.0
999,20115,Opera,cb,0.14553375317779726
999,18773,Doppelganger,cb,0.14480760152123834
999,3432,Mr. Brooks,cb,0.1270851073108502
999,40261,Watch Me When I Kill,cb,0.12670239289724683
999,11601,Stir of Echoes,cb,0.12125586236186892
999,273084,Bipolar,cb,0.11015603357437942
999,10998,Fatal Attraction,cb,0.10337568603843553
999,805,Rosemary's Baby,cb,0.10021865511043476
999,71945,Night of Dark Shadows,cb,0.09949115394972463
999,10299,"Hush... Hush, Sweet Charlotte",cb,0.09810489088317606
1000,422,8½,cf,5.0
1000,175,The Big Blue,cf,5.0
1000,1495,Kingdom of Heaven,cf,5.0
1000,876,Frank Herbert's Dune,cf,4.5
1000,1721,All the Way Boys,cf,4.5
1000,5483,Lisa and the Devil,cf,4.5
1000,49013,Cars 2,cf,4.5
1000,48414,Alamar,cf,4.5
1000,69526,The Assassination Bureau,cf,4.0
1000,841,Dune,cf,4.0
1000,20414,"Grande, grosso e Verdone",cb,0.9975099748286961
1000,8951,Don't Think About It,cb,0.9975099748286961
1000,841,Dune,cb,0.13894004765120258
1000,24179,Momo,cb,0.12379131797245607
1000,1656,The Legend of Zorro,cb,0.08139240522151646
1000,877,Scarface,cb,0.0593728385959071
1001,2048,"I, Robot",cf,5.0
1001,43464,Sinbad il marinaio,cf,5.0
1001,2006,"Bell, Book and Candle",cf,5.0
1001,1734,The Mummy Returns,cf,5.0
1001,58,Pirates of the Caribbean: Dead Man's Chest,cf,5.0
1001,2017,No Good Deed,cf,5.0
1001,1701,Con Air,cf,5.0
1001,2045,Unforgettable,cf,5.0
1001,6474,Navajo Joe,cf,5.0
1001,8880,Che: Part Two,cf,5.0
1001,52655,Shooters,cb,0.19777349174513292
1001,10705,Henry V,cb,0.1745756001531301
1001,994,Straw Dogs,cb,0.16973070185459316
1001,180836,Miss Marple: The Moving Finger,cb,0.1693809604122944
1001,28778,The Devil-Ship Pirates,cb,0.14844638579584823
1001,87906,Tuareg: Desert Warrior,cb,0.1457466926291449
1001,25503,Impact,cb,0.14383697490398617
1001,14676,A Man Called Horse,cb,0.14248653115967805
1001,162215,How I Live Now,cb,0.13699040713330948
1001,131764,Frenchman's Creek,cb,0.1365620853765686
1002,875,Shanghai Express,cf,5.0
1002,81512,Many Rivers to Cross,cf,5.0
1002,1406,City Slickers,cf,5.0
1002,1024,Heavenly Creatures,cf,5.0
1002,2642,Two Weeks Notice,cf,5.0
1002,1542,Office Space,cf,5.0
1002,1990,Paranoid Park,cf,5.0
1002,465044,Abduction,cf,5.0
1002,25941,Harry Brown,cf,5.0
1002,4011,Beetlejuice,cf,5.0
1002,19844,Kiss the Bride,cb,0.26623359163427474
1002,82134,I Want to Marry Ryan Banks,cb,0.25952883933123533
1002,55033,The Buttercream Gang,cb,0.2579006301885768
1002,84323,Price Check,cb,0.2472295937231671
1002,43705,The Great Lie,cb,0.24588703375735468
1002,11352,Always,cb,0.24004981454444688
1002,22947,Up in the Air,cb,0.2283319565936462
1002,39541,Stolen Summer,cb,0.21371393798506863
1002,16222,Whatever It Takes,cb,0.2090269994650472
1002,26602,Summer Catch,cb,0.20069975320509856
1003,1542,Office Space,cf,5.0
1003,1958,8 Women,cf,5.0
1003,306,Beverly Hills Cop III,cf,5.0
1003,3489,88 Minutes,cf,5.0
1003,1965,A Perfect Murder,cf,5.0
1003,322,Mystic River,cf,5.0
1003,272,Batman Begins,cf,5.0
1003,25941,Harry Brown,cf,5.0
1003,51540,Horrible Bosses,cf,5.0
1003,1990,Paranoid Park,cf,5.0
1003,19203,Graduation,cb,0.250479563362827
1003,14127,Cherry Crush,cb,0.22160900528617702
1003,64688,21 Jump Street,cb,0.18280471984974872
1003,84450,Buster e Billie,cb,0.1539926022334937
1003,208869,Plastic,cb,0.14536843154664708
1003,1807,Elephant,cb,0.14183315338266894
1003,339994,The Good Neighbor,cb,0.13517011372675936
1003,26174,T-Men,cb,0.13178587586582996
1003,357851,Let Me Make You a Martyr,cb,0.13175400565017598
1003,300669,Don't Breathe,cb,0.12949948157227925
1004,2286,Crusade in Jeans,cf,5.0
1004,876,Frank Herbert's Dune,cf,5.0
1004,2008,The Promise,cf,5.0
1004,2546,Zazie dans le métro,cf,5.0
1004,4627,Krabat and the Legend of the Satanic Mill,cf,5.0
1004,1875,Fantomas vs. Scotland Yard,cf,5.0
1004,2006,"Bell, Book and Candle",cf,5.0
1004,674,Harry Potter and the Goblet of Fire,cf,5.0
1004,5608,"The Nibelungs, Tale 1: Siegfried",cf,5.0
1004,126420,On Top of the Whale,cf,5.0
1004,39400,Labors of Hercules,cb,0.10493201155599072
1004,65707,Duelle,cb,0.08542245788679846
1004,24795,Angels in the Outfield,cb,0.07504328264080672
1004,175774,Ruby Red,cb,0.07230145601768184
1004,13380,One Magic Christmas,cb,0.07193807121357793
1004,330764,The Brand New Testament,cb,0.06758263082234503
1004,32644,Two of a Kind,cb,0.0639364019774795
1004,33555,Sherlock Holmes,cb,0.0639164624648699
1004,924,Dawn of the Dead,cb,0.06150864820532107
1004,78071,Successive Slidings of Pleasure,cb,0.06119673405107062
1005,3509,A Scanner Darkly,cf,5.0
